id,kind,lane,me,enemy,my_adc,my_sup,enemy_adc,enemy_sup,slug,priority,status,prompt_version,generated_at,validated_at,published_patch,notes
mid/ahri-vs-annie,lane,mid,ahri,annie,,,,,ahri-vs-annie,1,published,,,,26.13,MVP手作りモック
mid/orianna-vs-syndra,lane,mid,orianna,syndra,,,,,orianna-vs-syndra,2,published,,,,26.13,MVP手作りモック
top/garen-vs-darius,lane,top,garen,darius,,,,,garen-vs-darius,1,published,,,,26.13,MVP手作りモック
top/aatrox-vs-malphite,lane,top,aatrox,malphite,,,,,aatrox-vs-malphite,2,published,,,,26.13,MVP手作りモック
jg/leesin-vs-vi,lane,jg,leesin,vi,,,,,leesin-vs-vi,1,skip,,,,26.13,T-1300 でJGを対象外にした。生成済みJSONは docs/archive/bot/data/jg/ へ退避（復活は T-1308）
jg/graves-vs-kayn,lane,jg,graves,kayn,,,,,graves-vs-kayn,2,skip,,,,26.13,T-1300 でJGを対象外にした。生成済みJSONは docs/archive/bot/data/jg/ へ退避（復活は T-1308）
mid/yasuo-vs-zed,lane,mid,yasuo,zed,,,,,yasuo-vs-zed,5,skip,,,,,データなし検証用に意図的に未作成（08_testing §4）。生成しないこと
mid/ahri-vs-zed,lane,mid,ahri,zed,,,,,ahri-vs-zed,1,published,lane_v1,2026-07-20,2026-07-20,26.13,
mid/yasuo-vs-akali,lane,mid,yasuo,akali,,,,,yasuo-vs-akali,1,todo,,,,,
mid/ahri-vs-syndra,lane,mid,ahri,syndra,,,,,ahri-vs-syndra,2,todo,,,,,
mid/zed-vs-ahri,lane,mid,zed,ahri,,,,,zed-vs-ahri,2,todo,,,,,
mid/annie-vs-ahri,lane,mid,annie,ahri,,,,,annie-vs-ahri,2,todo,,,,,
mid/katarina-vs-ahri,lane,mid,katarina,ahri,,,,,katarina-vs-ahri,2,todo,,,,,
mid/viktor-vs-syndra,lane,mid,viktor,syndra,,,,,viktor-vs-syndra,3,todo,,,,,
top/darius-vs-garen,lane,top,darius,garen,,,,,darius-vs-garen,1,published,lane_v1,2026-07-20,2026-07-20,26.13,
top/garen-vs-teemo,lane,top,garen,teemo,,,,,garen-vs-teemo,1,todo,,,,,
top/aatrox-vs-fiora,lane,top,aatrox,fiora,,,,,aatrox-vs-fiora,1,todo,,,,,
top/malphite-vs-garen,lane,top,malphite,garen,,,,,malphite-vs-garen,2,todo,,,,,
top/mordekaiser-vs-darius,lane,top,mordekaiser,darius,,,,,mordekaiser-vs-darius,2,todo,,,,,
jg/vi-vs-leesin,lane,jg,vi,leesin,,,,,vi-vs-leesin,2,skip,lane_v1,2026-07-20,2026-07-20,26.13,T-1300 でJGを対象外にした。生成済みJSONは docs/archive/bot/data/jg/ へ退避（復活は T-1308）
jg/leesin-vs-khazix,lane,jg,leesin,khazix,,,,,leesin-vs-khazix,2,skip,,,,,T-1300 でJGを対象外にした。生成済みJSONは docs/archive/bot/data/jg/ へ退避（復活は T-1308）
jg/kayn-vs-viego,lane,jg,kayn,viego,,,,,kayn-vs-viego,3,skip,,,,,T-1300 でJGを対象外にした。生成済みJSONは docs/archive/bot/data/jg/ へ退避（復活は T-1308）
